NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,Subspecies,NodeNotes
120,120,1,Adult,120.1,Black Swan,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Cygnus,atratus,,
121,121,1,Adult,121.1,Bar-tailed Godwit,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Limosa,lapponica,,
122,122,1,Adult,122.1,Pied Cormorant,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Phalacrocorax ,varius,,
123,123,1,Adult,123.1,Little Pied Cormorant,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Phalacrocorax ,melanoleucos,,
124,124,1,Adult,124.1,Maritrema novaezealandensis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Maritrema,novaezealandensis,,
125,124,2,Parthinitae,124.2,Maritrema novaezealandensis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Maritrema,novaezealandensis,,
126,124,3,Cercariae,124.3,Maritrema novaezealandensis,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Maritrema,novaezealandensis,,
127,124,4,Metacercariae,124.4,Maritrema novaezealandensis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Maritrema,novaezealandensis,,
128,125,1,Adult,125.1,Levinseniella sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Levinseniella,sp.,,
129,125,2,Parthinitae,125.2,Levinseniella sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Levinseniella,sp.,,
130,125,3,Cercariae,125.3,Levinseniella sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Levinseniella,sp.,,
131,125,4,Metacercariae,125.4,Levinseniella sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Levinseniella,sp.,,
132,126,1,Adult,126.1,Microphallus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,sp.,,
133,126,2,Parthinitae,126.2,Microphallus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,sp.,,
134,126,3,Cercariae,126.3,Microphallus sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,sp.,,
135,126,4,Metacercariae,126.4,Microphallus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,sp.,,
136,127,1,Adult,127.1,Galactosomum sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Galactosomum,sp.,,
137,127,2,Parthinitae,127.2,Galactosomum sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Galactosomum,sp.,,
138,127,3,Cercariae,127.3,Galactosomum sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Galactosomum,sp.,,
139,127,4,Metacercariae,127.4,Galactosomum sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Galactosomum,sp.,,
140,128,1,Adult,128.1,Renicola sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Renicola,sp.,,
141,128,2,Parthinitae,128.2,Renicola sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Renicola,sp.,,
142,128,3,Cercariae,128.3,Renicola sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Renicola,sp.,,
143,128,4,Metacercariae,128.4,Renicola sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Renicola,sp.,,
144,129,1,Adult,129.1,Philophthalmus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Philophthalmus,sp. ,,
145,129,2,Parthinitae,129.2,Philophthalmus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Philophthalmus,sp. ,,
146,129,3,Cercariae,129.3,Philophthalmus sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Philophthalmus,sp. ,,
147,129,4,Metacercariae,129.4,Philophthalmus sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Commensal,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Philophthalmus,sp. ,,
148,130,1,Adult,130.1,Curtuteria australis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Curtuteria,australis,,
149,130,2,Parthinitae,130.2,Curtuteria australis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Curtuteria,australis,,
150,130,3,Cercariae,130.3,Curtuteria australis,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Curtuteria,australis,,
151,130,4,Metacercariae,130.4,Curtuteria australis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Curtuteria,australis,,
152,131,1,Adult,131.1,Acanthoparyphium sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Acanthoparyphium,sp. ,,
153,131,2,Parthinitae,131.2,Acanthoparyphium sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Acanthoparyphium,sp. ,,
154,131,3,Cercariae,131.3,Acanthoparyphium sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Acanthoparyphium,sp. ,,
155,131,4,Metacercariae,131.4,Acanthoparyphium sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Acanthoparyphium,sp. ,,
156,132,1,Adult,132.1,Gymnophallus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Gymnophallus,sp. ,,
157,132,2,Parthinitae,132.2,Gymnophallus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Gymnophallus,sp. ,,
158,132,3,Cercariae,132.3,Gymnophallus sp.,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Gymnophallus,sp. ,,
159,132,4,Metacercariae,132.4,Gymnophallus sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Gymnophallus,sp. ,,
160,133,1,Adult,133.1,Opecoelid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Opecoelidae,,,,
161,133,2,Parthinitae,133.2,Opecoelid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Opecoelidae,,,,
162,133,3,Cercariae,133.3,Opecoelid,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Opecoelidae,,,,
163,133,4,Metacercariae,133.4,Opecoelid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Opecoelidae,,,,
164,134,1,Adult,134.1,Ascarophis sp.,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Ascarophis,sp.,,
165,134,2,Larvae,134.2,Ascarophis sp.,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Ascarophis,sp.,,
166,135,1,Adult,135.1,Acuariidae,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,Acuariidae,,,,
167,135,2,Larvae,135.2,Acuariidae,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,Acuariidae,,,,
168,136,1,Adult,136.1,Profilicollis antarcticus,Acanthocephalan,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Acanthocephala,,,,,,,,,,Profilicollis,antarcticus,,
169,136,2,Cystacanth,136.2,Profilicollis antarcticus,Acanthocephalan,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Acanthocephala,,,,,,,,,,Profilicollis,antarcticus,,
170,137,1,Adult,137.1,Profilicollis novaezelandensis,Acanthocephalan,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Acanthocephala,,,,,,,,,,Profilicollis,novaezelandensis,,
171,137,2,Cystacanth,137.2,Profilicollis novaezelandensis,Acanthocephalan,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Acanthocephala,,,,,,,,,,Profilicollis,novaezelandensis,,
172,138,1,Adult,138.1,Pseudomyicola spinosus,Copepod,Taxon,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Crustacea,,,Copepoda,,,,,,,Pseudomyicola,spinosus,,
173,139,2,Parthinitae,139.2,Amphi-trematode sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,,,,
174,140,2,Parthinitae,140.2,Fellostomatid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Fellostomatidae,,,,
175,140,3,Cercariae,140.3,Fellostomatid,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Fellostomatidae,,,,
176,141,1,Adult,141.1,Stigeid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Stigeidae,,,,
177,141,2,Parthinitae,141.2,Stigeid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Parasitic Castrator,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Stigeidae,,,,
178,141,3,Cercariae,141.3,Stigeid,Trematode,Lifecycle Stage,Species,,Non-Feeding,Free-Living,Infectious,Non-feeding,,,Intermediate,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Stigeidae,,,,
179,141,4,Metacercariae,141.4,Stigeid,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,Trophically Transmitted Parasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Stigeidae,,,,
180,142,1,Adult,142.1,Pea crab,Crab,Taxon,Species,,Feeding,Infectious,Infectious,Macroparasite,,,,,,,,,,,,,Animalia,Crustacea ,,,Malacostraca,,Decapoda,,,,,Pinnotheres,novaezelandiae,,
